elo.diff;outcome
34.6;1
128.6;0
15.4000000000001;0
80.2;1
-37.4;0
-143.4;0
15.8;0
-117.2;0
20.2;1
5.19999999999982;0
-29.9999999999999;0
-0.799999999999955;1
88.5999999999999;1
-67.8;0
26.2;1
-150.6;1
-79.6;0
79.4000000000001;1
13;1
-6.40000000000009;1
22;1
35.5999999999999;1
-47.8;0
9.79999999999995;0
147;1
2;0
-11.9999999999999;1
24.6000000000001;1
24.4000000000001;0
73.6;0
-12.1999999999998;1
-88.5999999999999;1
-72.8000000000001;0
-242;0
2.40000000000009;0
-161;1
-4.80000000000007;1
25.6;1
-30.2;1
59.8000000000001;1
-37;1
120.8;1
37.8;1
-61.1999999999999;1
1;1
-103.8;0
-218.6;1
-22.3999999999999;1
-9.60000000000002;0
-177.4;0
-25.3999999999999;1
-37.6;1
19;1
16.8000000000001;0
88.8000000000001;1
-86.5999999999999;0
-14.6000000000001;0
-67.2;1
-99;0
-30.2;1
5.20000000000005;0
-91.8;1
166;1
20.8;1
-28.8000000000002;0
55.8000000000002;1
-199.6;0
-60.1999999999999;0
39;1
-17.5999999999999;1
-1.79999999999995;1
139.8;1
57.4000000000001;0
-67.5999999999999;1
-39.4;1
-22.5999999999999;0
42.4;1
-36.6000000000001;0
92.6000000000001;1
-100.2;0
0.799999999999955;0
-40;1
-17;0
24.2;1
226.2;0
-87.4000000000001;1
20.1999999999999;1
-134.4;0
32.4000000000001;1
-28.6;0
-39;0
-198.8;1
53.4000000000001;0
288;0
14.4000000000001;0
-53.3999999999999;1
249.4;1
27.8;0
48.8000000000001;0
-88.8;0
55.2;0
-83.4000000000001;0
17.8;1
-151.8;0
-54.4000000000001;1
88.2;1
-174.4;1
-17.4;0
-173.8;1
24.2;0
63.8;0
-43.8;1
203.2;1
-18.8;1
-72.2;1
-79.8000000000001;1
-218.8;0
27.4;1
-68.8;0
-48.8;1
-398.8;0
209.2;1
-151.4;1
68.6000000000001;1
-248;0
61.0000000000001;1
38;0
-237.2;0
39.4;1
74.1999999999999;1
218;1
217.6;0
-225.6;0
60.3999999999999;1
-64;1
-58;0
11.4000000000001;0
-8.19999999999982;0
-86.4000000000001;1
154.6;1
154.8;0
112;1
37;0
-90.8000000000001;0
4.39999999999986;0
39.2;1
80.4;1
36;1
72.6;1
-93.0000000000001;1
-47.8;0
-66.8;1
19.4000000000001;0
-12.8;0
87.2;0
150.8;0
74.2;1
46.3999999999999;0
82.2;0
51.4000000000001;0
-23.8000000000001;1
-80.8;0
223.2;1
-23.8000000000001;0
-36.6;1
-264;0
-163.4;0
-87.8000000000001;1
-5.59999999999991;0
19.6;0
11.8;0
-128.8;0
-168.8;0
164.8;0
-12.8;1
-233.6;0
-83.1999999999999;0
50.3999999999999;0
65.8;0
-1.39999999999998;1
-36;1
91;1
29.2;1
126.2;1
-26;0
82.6;1
23.4000000000001;0
91.8000000000001;0
-342.2;0
-59.1999999999999;0
