elo.diff;outcome
-12.3999999999999;0
137.2;1
218.8;1
163.6;1
-166.2;0
13.2;0
23.6;1
-221.2;0
144;0
15.2;1
14.1999999999999;0
168.8;1
-8.19999999999982;1
62;1
-75.5999999999999;1
-69.1999999999998;0
-61.3999999999999;0
34.6;1
-13.3999999999999;0
-62.9999999999999;0
-140.8;1
9.39999999999998;0
-56.3999999999999;1
-29.1999999999999;0
81.2;1
-75.8000000000001;0
81.4000000000001;1
-101.2;1
41.6000000000001;1
-69;1
-20.6;1
50.8;1
-38.3999999999999;0
-24;0
149.8;0
17.1999999999999;0
-9.40000000000009;0
-144.2;1
-129.8;0
48.4000000000001;0
-20;0
37;1
-100;0
-33.4;0
189.4;1
-91.2;0
118;1
-79.2;1
70.4;0
13.3999999999999;1
-89;0
28.8000000000001;1
42.1999999999999;0
73.6;1
46.0000000000001;1
115.8;0
-80;0
-22.5999999999999;0
-2.59999999999991;0
2;0
52.2;1
-66.8;0
-28.5999999999999;1
3;0
108.4;0
-48.1999999999999;1
-37.6000000000001;1
-34.8;0
-93.6;0
377;1
-57;1
-277.6;0
-17.2;1
-40.6;0
-82.8000000000001;0
-22.2;0
28.8000000000001;1
131.4;1
72.8;1
-20.8;1
1.20000000000005;0
-39.4000000000001;1
-257.6;0
-43.4000000000001;1
19.4;1
-8.80000000000018;0
-54.8000000000001;0
28.5999999999999;0
69.8;1
61.6;0
-134.2;0
-85.4;0
211.6;1
-27.6000000000001;0
-84.2;0
120.6;1
-123.4;1
-18;0
-89.0000000000001;0
-124.2;1
-54;0
147.8;1
5.39999999999986;1
-61;0
54.3999999999999;1
-116.8;0
90;1
21.8;0
-96.8000000000001;1
61.4;1
84.6000000000001;1
-16.4;1
1;0
73.8;0
155.8;1
-7.39999999999998;0
-21.8000000000001;0
-141;1
127.8;0
32;1
-81.8;0
-30.8000000000002;1
71.4000000000001;1
-2;0
-173.2;1
-16;1
-42.4000000000001;1
97.4000000000001;1
-17.2;0
-44;1
-32;1
50.2;0
-16.6;0
42.4000000000001;0
-27;1
-92.8;0
-45.8;0
41.2;0
61.8000000000001;1
-0.599999999999909;0
91.8;1
-357.2;0
-8.60000000000002;1
-68.5999999999999;1
-240.4;0
106.4;1
-13;1
-20;0
-106.8;0
297;1
-9.80000000000007;0
131.2;1
-65.8000000000001;0
96.0000000000001;0
18.4;1
50.8;1
-46.2;0
-114.4;0
-34.2;1
79;1
9.60000000000014;1
49.0000000000001;0
-53;0
34.6;1
-41.9999999999999;0
-58.1999999999999;0
106.2;1
9.20000000000005;0
-87.8;0
-62.2;1
-20.4000000000001;0
-38.1999999999999;1
93.5999999999999;1
79.4;0
-233;0
-54.2;1
51.2;0
143.2;0
-101.8;0
-270.8;0
-76.4000000000001;0
152;0
35;1
58.2;0
17;0
123.6;0
-37.2;1
-70;1
28.2;0
102;0
-287.6;0
-25;0
55.8;1
-97.4000000000001;1
37.5999999999999;0
-57.9999999999999;1
111.2;0
68.5999999999999;1
-23.8;1
136.4;0
1.40000000000009;0
-31;1
98.2;0
62.1999999999999;1
99.8000000000001;0
-201.4;1
25.3999999999999;0
29.4000000000001;1
-50;1
-17.4;1
-62.4;1
-202.8;1
126.6;1
29.8000000000001;1
-120.2;0
-29;1
162.6;0
9.40000000000009;1
5.20000000000005;1
-222.8;0
10.3999999999999;0
-134;1
-199;0
69.2;1
14.6;1
-341.8;0
-76.2;0
20.2;1
26.5999999999999;1
121.6;0
-80.8;1
-4;1
-113.4;0
99.2;1
-68.4000000000001;0
-132.8;1
8.20000000000005;0
210;1
-329.2;0
-384;0
-204;1
79.8;1
-82.5999999999999;0
21.5999999999999;0
51.2;0
-203.6;0
-16.8000000000001;1
44.2;0
65.8000000000001;1
7;0
202.8;1
-3.60000000000014;1
305.4;1
161.8;1
11.6000000000001;0
48.1999999999999;1
-54.4000000000001;1
11.2;0
31.6;1
6.60000000000014;0
62.9999999999999;0
104.6;1
72;1
-15.0000000000001;0
51.5999999999999;1
-156.2;0
63.8000000000001;1
-5;1
4.79999999999995;0
-206.8;0
98.2;1
-34.8;1
-32.0000000000001;1
279.4;1
22.8000000000002;1
-2.20000000000005;1
52.9999999999999;0
-7.19999999999993;0
-18.5999999999999;1
97.4000000000001;1
10.6;1
69.8;1
-32.6000000000001;1
57.5999999999999;0
58.5999999999999;0
54.6000000000001;1
94.4000000000001;1
-3.60000000000014;1
-11;0
372;1
-158.6;1
36.4000000000001;0
-39.5999999999999;0
8.80000000000007;1
-24.6;0
143;1
62.0000000000001;0
-53.2;0
-48;0
-78.4;1
-5.40000000000009;1
8.39999999999998;0
137.8;0
-27.5999999999999;1
9.39999999999986;0
-67.1999999999998;1
60.8;1
-73.8000000000001;1
-132.2;0
70.6;1
-280;0
214.2;0
-24;1
13.4000000000001;1
-124;0
-43;1
124.4;1
-30.4000000000001;0
-26.8000000000001;0
4.80000000000018;0
65;1
9;0
-4.59999999999991;1
-71;0
79.8000000000001;1
-170.6;0
68.4000000000001;0
